PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Nelamangala-Tumkur (New NH-4 & 48) Six Lane Highway Project (Bharatmala),1668,Substantial Expansion,14070.8,Under Implementation,"Engineering, Procurement & Construction",Aug-25,Karnataka,12-Feb-19,09/08/20,14070.8,11526.6,2544.2
Nellore-Chennai(Tada-Chennai) Highway Project,104,Substantial Expansion,2330,Completed,"Engineering, Procurement & Construction",Dec-05,Tamil Nadu,01-Mar-01,01/01/02,2330,1850,480
Ner Chowk-Pandoh (NH-21) Four Laning Highway Project (Package-I of Nerchowk-Kullu stretch),1033,Substantial Expansion,12737.1,Under Implementation,"Engineering, Procurement & Construction",,Himachal Pradesh,15-Nov-14,26/10/16,12737.1,7248.2,5488.9
Neraluru-Thorapalli Agraharam section (NH-844) Four Lane Highway Project (Package 1 of Hosur-Dharmapuri) (Bharatmala),1687,Substantial Expansion,4290.2,Under Implementation,Hybrid Annuity,,Karnataka,11-Jul-18,06/03/19,4290.2,4290.2,0
New Dwar Ksuid Bridge Project,1940,New Unit,100,Under Implementation,,May-23,Meghalaya,01-Apr-21,07/12/21,100,100,0
New Four Lane Bridge across Varsova Creek (NH-48) (Surat-Dahisar Section) Project,1139,New Unit,2470.2,Completed,"Engineering, Procurement & Construction",Mar-23,Maharashtra,15-Mar-15,31/03/17,2470.2,1650.7,819.5
New Link (NH-133B) and Four Lane Bridge across Ganga connecting Sahibganj-Manihari (Katihar) (Package-I) Project,1071,New Unit,19776.8,Under Implementation,"Engineering, Procurement & Construction",Oct-24,Bihar,01-Mar-05,17/12/22,19776.8,10000,9776.8
New Mangalore Port Road Connectivity Improvement & Widening Project,1148,Substantial Expansion,260,No Information,,,Karnataka,15-May-15,20/11/15,260,245.9,14.1
North-East side of Gorakhpur Bypass Four/Six Laning (Maniram (NH-29E)-Jagdispur (NH-28)) Project,1924,Substantial Expansion,21000,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,01-Sep-21,13/03/23,21000,18817.4,2182.6
Obedullaganj-Betul (NH-69) Four-Laning Highway Project,1296,Substantial Expansion,11990,Under Implementation,Build Operate Transfer Toll,,Madhya Pradesh,14-Sep-10,17/03/22,11990,12170,-180
Ochira-Thiruvananthapuram (Kazhakuttam) (NH-66) Six Laning Highway Project (Kasaragod District-Thiruvananthapuram District),543,New Unit,19871.6,Under Implementation,,Dec-25,Kerala,15-Oct-04,01/01/09,19871.6,12407.9,7463.7
Oddanchathram (NH-83) Four Lane Bypass Project,1300,Substantial Expansion,2492.7,Completed,"Engineering, Procurement & Construction",Dec-20,Tamil Nadu,18-May-17,29/09/17,2492.7,2037.8,454.9
Old Pune Naka (NH-9)-Satrasta Chowk (NH-13) Four Lane Flyover Project,1137,New Unit,4229.2,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,15-Jul-15,29/12/17,4229.2,4229.2,0
Omalur-Thumpipadi Highway Project,330,New Unit,166,No Information,,,Tamil Nadu,01-Dec-03,01/12/03,166,166,0
Ongole-Chirala High Level Bridge Project,787,New Unit,500,No Information,Build Operate Transfer,,Andhra Pradesh,04-Jun-10,04/06/10,500,500,0
Orai to Jhansi (NH-25) Highway Project,314,New Unit,8410,Completed,"Engineering, Procurement & Construction",May-13,Uttar Pradesh,01-Dec-03,31/12/10,8410,7926.5,483.5
Orai-Bhognipur-Bara Highway Project,345,Substantial Expansion,6078,Completed,Build Operate Transfer,Dec-10,Uttar Pradesh,01-Dec-03,31/12/10,6078,5200,878
Ordnance Factory gate-Octroi Naka Flyover Project (on Amravati Road),1057,New Unit,750,No Information,,,Maharashtra,15-Jan-15,29/01/15,750,750,0
Ormanjhi-Gola (NH-320B) Four Lane Greenfield Highway Project (Package-II),1991,New Unit,13300,Under Implementation,Hybrid Annuity,,Jharkhand,01-Apr-18,23/03/23,13300,6893.4,6406.6
Package-1 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1588,New Unit,7104.9,Completed,"Engineering, Procurement & Construction",Dec-22,Rajasthan,01-Apr-17,11/06/19,7104.9,4448.9,2656
Package-1 of Rajasthan-Gujarat Border (Sanchore) to Santalpur (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1793,New Unit,6433.4,Under Implementation,"Engineering, Procurement & Construction",Jun-23,Rajasthan,01-Apr-17,07/12/22,6433.4,5165.7,1267.7
Package-1 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1579,New Unit,6218.2,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,6218.2,4466.3,1751.9
Package-1 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1589,New Unit,7389,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,7389,5200.1,2188.9
Package-2 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1575,New Unit,8140.4,Completed,"Engineering, Procurement & Construction",Aug-22,Rajasthan,01-Apr-17,31/12/19,8140.4,4405.7,3734.7
Package-2 of Rajasthan-Gujarat Border (Sanchore) to Santalpur (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1795,New Unit,7855.2,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,07/12/22,7855.2,5668,2187.2
Package-2 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1581,New Unit,6761.9,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,6761.9,5356.3,1405.6
Package-2 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1594,New Unit,7551.6,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,7551.6,5282.3,2269.3
Package-3 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1574,New Unit,8201.9,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,8201.9,4680.3,3521.6
Package-3 of Rajasthan-Gujarat Border (Sanchore)-Santalpur (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1792,New Unit,7523,Under Implementation,"Engineering, Procurement & Construction",Aug-23,Rajasthan,01-Apr-17,07/12/22,7523,5952.7,1570.3
Package-3 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1580,New Unit,7328.4,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,7328.4,5415.2,1913.2
Package-3 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1595,New Unit,6727.2,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,6727.2,5103.7,1623.5
Package-4 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1577,New Unit,4225.4,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,03/10/18,4225.4,4225.4,0
Package-4 of Rajasthan/Gujarat Border (Sanchore)-Santalpur (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1794,New Unit,7781.5,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,07/12/22,7781.5,6197.8,1583.7
Package-4 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1582,New Unit,4883.5,Completed,"Engineering, Procurement & Construction",Aug-22,Rajasthan,01-Apr-17,13/02/19,4883.5,4298.9,584.6
Package-4 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1596,New Unit,5427,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,5427,3827.6,1599.4
Package-5 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1576,New Unit,4096.6,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,03/10/18,4096.6,4096.6,0
Package-5 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1585,New Unit,5369.5,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,13/02/19,5369.5,4566.3,803.2
Package-5 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1597,New Unit,5154.5,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,5154.5,3629.8,1524.7
Package-6 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1578,New Unit,6684.8,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,03/10/18,6684.8,6684.8,0
Package-6 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1586,New Unit,7173.2,Completed,"Engineering, Procurement & Construction",Dec-22,Rajasthan,01-Apr-17,31/12/19,7173.2,4645.9,2527.3
Package-6 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1590,New Unit,6358.4,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,6358.4,4334.1,2024.3
Package-7 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1583,New Unit,5011.5,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,04/11/19,5011.5,4835.9,175.6
Package-7 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1591,New Unit,5206.3,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,5206.3,4066.7,1139.6
Package-8 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1584,New Unit,5434.4,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,03/10/18,5434.4,5434.4,0
Package-8 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1592,New Unit,5807.9,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,5807.9,4581.2,1226.7
Package-9 of Sangariya (Chautala)-Rasisar (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),1593,New Unit,6565.7,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-17,31/12/19,6565.7,4840.9,1724.8
Padalur-Trichy (Pkg VI-C) Highway Project,497,New Unit,6361,Completed,Build Operate Transfer,Apr-10,Tamil Nadu,22-Aug-05,30/11/09,6361,3200,3161
Padinajrekar-Ottumpuram Road Upgradation Project,1725,Substantial Expansion,2065.5,No Information,,,Kerala,12-Apr-18,15/05/18,2065.5,2065.5,0
Paijarwadi-Kerle & Kolhapur Bypass (Kerle-Chokak) Four Lane Highway (Package-III of Ratnagiri-Kolhapur section of NH-166) Project,1447,Substantial Expansion,21310,Under Implementation,Hybrid Annuity,,Maharashtra,01-Jan-17,29/01/23,21310,8371.1,12938.9
Palakkad-Kozhikode Four/Six Lane Greenfield Highway Project,2052,New Unit,79379.6,Announced,,,Kerala,01-Jan-20,07/03/22,79379.6,79379.6,0
Palanpur-Dessa(EW-11/GJ) Highway Project,196,Substantial Expansion,537.3,Completed,"Engineering, Procurement & Construction",Feb-03,Gujarat,01-Jun-01,01/01/02,537.3,908,-370.7
Palanpur-Pindwara Highway Project,384,Substantial Expansion,4980,No Information,,,Gujarat,01-Mar-04,01/04/10,4980,4980,0
Palanpur-Swaroopganj Highway Project,424,New Unit,5500,Completed,Build Operate Transfer,May-09,Gujarat,31-Dec-05,31/12/05,5500,5500,0
Pali City ROB Project,1076,New Unit,206.4,Completed,,Aug-13,Rajasthan,09-Mar-11,30/09/12,206.4,220,-13.6
Palma-Gumla (Section of NH-23) Four Lane Highway Project,1440,Substantial Expansion,15718.3,Under Implementation,Hybrid Annuity,Mar-24,Jharkhand,20-Dec-17,21/12/22,15718.3,6898.1,8820.2
Palsit-Dankuni (NH-19) Six Lane Highway Project (Bharatmala),1831,Substantial Expansion,24030,Under Implementation,Build Operate Transfer Toll,,West Bengal,13-Feb-20,04/04/22,24030,21930,2100
Palsit-Dankuni(Durgapur Expressway) Highway Project,193,Substantial Expansion,4324,Completed,Public Private Partnership,Dec-05,West Bengal,28-Feb-01,01/07/03,4324,4660,-336
Panagarh-Haldia Expressway Project,1729,Substantial Expansion,90000,Announced,,,West Bengal,01-Apr-16,15/05/18,90000,90000,0
Panchi Gujran-Kamaspur (Delhi-Haryana Section NS-17/HR) Six Lane Highway Project,187,Substantial Expansion,1210,Completed,,Dec-10,Haryana,30-Oct-01,31/12/10,1210,880,330
Pandoh-Bata (Tunnel) (NH-21) Highway Project (Package-II of Nerchowk-Kullu stretch),1044,Substantial Expansion,6907.8,Under Implementation,Hybrid Annuity,,Himachal Pradesh,15-Nov-14,03/12/14,6907.8,6907.8,0
Pangare-Warangaphata (NH-161) Four Lane Highway project (Package-IV),1843,Substantial Expansion,9744.8,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,08-Jun-20,09/08/20,9744.8,9744.8,0
Panipat to Panchi Gujran Six Laning Highway Project,310,Substantial Expansion,1216.4,Completed,,Dec-10,Haryana,31-Jan-00,31/12/10,1216.4,1216.4,0
Panipat-Bawal Six-Laning Road Project,805,Substantial Expansion,18000,No Information,,,Haryana,09-Sep-10,09/09/10,18000,18000,0
Panipat-Shamli (NH-709AD) Four Lane Highway Project (Package 1 of Panipat-Nagina Highway),1540,Substantial Expansion,12530,Completed,"Engineering, Procurement & Construction",Jan-23,Haryana,10-Jun-16,20/02/19,12530,7814.4,4715.6
Panitanki-Bagdogra-Fulbari (AH-2) Road Project,988,New Unit,6020,No Information,,,West Bengal,01-Jul-13,04/06/14,6020,6020,0
Paniyala (Kotputli)-Mator-Baraodaneo (NH-148B) Six Lane Access Controlled Highway Project,2086,Substantial Expansion,37750,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Sep-20,12/02/23,37750,37750,0
Panjim-Mangalore (NH-17) Highway Project,27,Renovation & Modernisation,1400,No Information,,,Karnataka,12-Feb-98,01/04/02,1400,1560,-160
Panvel-Indapur (NH-17) Four Laning Highway Project (Mumbai-Goa NH 66 Highway) (Package-1),1553,Substantial Expansion,13700,Under Implementation,Build Operate Transfer Toll,Dec-23,Maharashtra,01-Dec-03,30/06/18,13700,9426.9,4273.1
Paonta Sahib-Ballupur Chowk (Dehradun) Four Lane (NH-72) Highway Project,1934,Substantial Expansion,17000,Under Implementation,,,Uttarakhand,01-Apr-16,04/12/21,17000,6000,11000
Paradip Port Road Project,207,New Unit,4593.8,Completed,,Jun-09,Odisha,28-Feb-04,01/04/09,4593.8,3500,1093.8
Paramakudi-Ramanathapuram (NH-49) Four Laning Highway Project (Madurai-Ramanathapuram Highway),1280,Substantial Expansion,2000,Completed,,Mar-19,Tamil Nadu,01-Nov-10,28/03/17,2000,2000,0
Pararia-Mohania Four Lane Highway (NH-319) Project (Package 2 of Mohania-Arrah) (Bharatmala),1835,Substantial Expansion,8560,Under Implementation,"Engineering, Procurement & Construction",Jul-23,Bihar,01-Jul-11,22/09/20,8560,7277.4,1282.6
Paravoor-Kottunkulangara (NH-66) Six Lane Highway Project (Bharatmala),1881,Substantial Expansion,35051.6,Under Implementation,"Engineering, Procurement & Construction",,Kerala,01-Dec-20,15/12/22,35051.6,13105.2,21946.4
Pardi Flyover (NH-6) (on Urban Link to Nagpur-Raipur) Project,995,New Unit,4970,Under Implementation,"Engineering, Procurement & Construction",Jun-23,Maharashtra,31-Mar-12,19/06/22,4970,650,4320
Parle-G Factory FOB Project,831,New Unit,10,No Information,,,Karnataka,01-Dec-10,01/12/10,10,10,0
Parwanoo-Solan (NH-5) (Parwanoo-Shimla Package-I) Two/Four Lane Highway Project,662,Substantial Expansion,13030,Completed,"Engineering, Procurement & Construction",Jun-21,Himachal Pradesh,10-Feb-09,24/06/21,13030,6905.6,6124.4
Pashchimi Singhbhum (NH-75) (between Jhinkpani-Talaburu) ROB Project,3006,New Unit,990,Under Implementation,,,Jharkhand,01-Mar-23,19/03/23,990,990,0
Pashchimi Singhbhum-Simdega NH-320G Road Project,3009,New Unit,5140,Under Implementation,,,Jharkhand,01-Mar-23,19/03/23,5140,5140,0
Patan (Near Rajpur)-Gojariya (NH-68) Four/Six Lane Highway Project (Package-II),2004,Substantial Expansion,11520,Under Implementation,"Engineering, Procurement & Construction",,Gujarat,01-Jan-21,16/02/23,11520,8758.3,2761.7
Patel Chowk (NH-33) Six Lane Underpass Project,2101,New Unit,240,Completed,,Mar-23,Jharkhand,01-Oct-20,23/03/23,240,246.9,-6.9
Pathankot-Bhogpur (NH-1A) Highway Project,307,New Unit,5130,Completed,"Engineering, Procurement & Construction",Jan-14,Punjab,01-Dec-03,01/07/09,5130,5130,0
Pathankot-Delhi(Ambala-Delhi) Highway Project,70,New Unit,7316,Completed,,Dec-01,Haryana,01-Mar-93,01/10/01,7316,3790.7,3525.3
Pathankot-Jammu & Kashmir Border (NS-36/J&K) Highways project,739,New Unit,2450,Completed,"Engineering, Procurement & Construction",Dec-14,Jammu & Kashmir,31-Dec-03,30/11/12,2450,977.3,1472.7
Pathankot-Mandi (NH-154) Four Laning Highway Project,1313,Substantial Expansion,100000,Under Implementation,Hybrid Annuity,,Himachal Pradesh,01-Feb-13,13/11/22,100000,16000,84000
Pathrapali-Kathghora (NH-130) Four Lane Highway Project (Package 2 of Bilaspur-Kathghora section) (Bharatmala),1783,New Unit,8600,Under Implementation,Hybrid Annuity,May-23,Chhattisgarh,06-Sep-18,05/05/23,8600,5751,2849
Patna Four/Six Laning Ring Road Project,1132,Substantial Expansion,40000,Under Implementation,"Engineering, Procurement & Construction",,Bihar,15-Mar-08,30/08/19,40000,15000,25000
Patna-Arrah-Sasaram (NH-119) Four/Six Lane Highway Project,1926,Substantial Expansion,29790,Announced,,,Bihar,31-Mar-02,28/09/22,29790,35000,-5210
Patna-Gaya-Dobhi (NH-83) Four Lane Highway Project,603,New Unit,16104.7,Under Implementation,Build Operate Transfer,Jun-23,Bihar,30-Apr-09,19/07/21,16104.7,4380,11724.7
Patna-Ghazipur Expressway Project (Patna Expressway),1412,New Unit,20000,No Information,,,Uttar Pradesh,10-Nov-17,11/11/17,20000,20000,0
Patna-Koilwar (NH-30) Four-Laning Highway Project (Section of Patna-Buxar Highway),1010,Substantial Expansion,21000,Under Implementation,"Engineering, Procurement & Construction",,Bihar,12-Aug-08,24/06/19,21000,4918.9,16081.1
